,Player,Team,Age,Position,Apps,Starts,Mins,Goals,Assists,MotM,Rating,Season,Competition
3,Yohandry Orozco,Wolfsburg,22,M(CLR),2,1,127,0,1,1,6.87,2012-13,GER Bundesliga
4,Tolgay Arslan,Hamburg,23,M(C),25,19,1672,0,1,1,6.86,2012-13,GER Bundesliga
5,Manuel Neuer,Bayern,27,GK,31,31,2790,0,0,0,6.86,2012-13,GER Bundesliga
6,Mergim Mavraj,Greuther Fuerth,27,D(C),32,32,2809,0,0,0,6.86,2012-13,GER Bundesliga
7,Marcel de Jong,Augsburg,27,"D(L),M(L)",20,14,1281,1,1,0,6.86,2012-13,GER Bundesliga
8,Klaas Jan Huntelaar,Schalke,30,FW,26,26,2232,10,4,1,6.86,2012-13,GER Bundesliga
9,Heinrich Schmidtgal,Greuther Fuerth,28,D(L),18,16,1469,0,1,0,6.86,2012-13,GER Bundesliga
0,Steven Cherundolo,Hannover,34,D(R),20,20,1764,0,1,0,6.86,2012-13,GER Bundesliga
1,Matthias Ostrzolek,Augsburg,23,"D(L),DMC,M(L)",25,22,1963,0,2,1,6.86,2012-13,GER Bundesliga
2,Eljero Elia,Werder Bremen,26,"AM(LR),FW",24,22,1745,0,3,2,6.86,2012-13,GER Bundesliga
3,Radoslav Zabavník,Mainz,33,D(L),17,13,1153,0,1,1,6.85,2012-13,GER Bundesliga
4,Atsuto Uchida,Schalke,25,"D(R),M(R)",24,24,2035,1,2,0,6.85,2012-13,GER Bundesliga
5,Maximilian Arnold,Wolfsburg,19,M(CR),6,5,408,3,0,0,6.85,2012-13,GER Bundesliga
6,Thorben Marx,Borussia M.Gladbach,32,DMC,23,23,1998,2,2,0,6.85,2012-13,GER Bundesliga
7,Filip Daems,Borussia M.Gladbach,35,D(L),19,16,1494,1,0,0,6.84,2012-13,GER Bundesliga
8,Diego Contento,Bayern,23,"D(L),M(L)",5,4,380,0,0,0,6.84,2012-13,GER Bundesliga
9,Edgar Prib,Greuther Fuerth,24,"D(L),M(CL)",27,25,2290,3,5,0,6.84,2012-13,GER Bundesliga
