,Player,Team,Age,Position,Apps,Starts,Mins,Goals,Assists,MotM,Rating,Season,Competition
4,Jan Bednarek,Poland,22,D(C),3,2,225,1,0,1,6.94,2017-18,FIFA World Cup
5,José Fonte,Portugal,35,D(C),4,4,360,0,0,0,6.93,2017-18,FIFA World Cup
6,Axel Witsel,Belgium,30,"D(C),M(C)",6,6,540,0,0,0,6.93,2017-18,FIFA World Cup
7,Abdullah Otayf,Saudi Arabia,26,midfielder,3,3,244,0,1,0,6.93,2017-18,FIFA World Cup
8,Emil Forsberg,Sweden,27,"AM(CLR),FW",5,5,417,1,0,1,6.93,2017-18,FIFA World Cup
9,Jesse Lingard,England,26,"AM(CLR),FW",6,5,529,1,1,0,6.93,2017-18,FIFA World Cup
0,Mesut Özil,Germany,30,M(CLR),2,2,180,0,0,0,6.93,2017-18,FIFA World Cup
1,Toby Alderweireld,Belgium,29,D(CR),6,6,540,0,1,0,6.93,2017-18,FIFA World Cup
2,Marcus Berg,Sweden,32,FW,5,5,428,0,0,0,6.93,2017-18,FIFA World Cup
3,Nabil Dirar,Morocco,32,"D(LR),M(CR)",2,2,180,0,0,0,6.93,2017-18,FIFA World Cup
4,Alfred Finnbogason,Iceland,29,FW,3,3,264,1,0,0,6.92,2017-18,FIFA World Cup
5,Genki Haraguchi,Japan,27,M(CLR),3,3,246,1,0,0,6.92,2017-18,FIFA World Cup
6,Khalid Boutaïb,Morocco,31,FW,2,2,141,1,0,0,6.92,2017-18,FIFA World Cup
7,Gabriel Jesus,Brazil,21,"AM(LR),FW",5,5,407,0,1,0,6.92,2017-18,FIFA World Cup
8,Ahmed Hegazy,Egypt,27,D(C),3,3,270,0,0,0,6.92,2017-18,FIFA World Cup
9,Jonas Hector,Germany,28,"D(L),M(CL)",2,2,165,0,0,0,6.92,2017-18,FIFA World Cup
0,Carlos Sánchez,Uruguay,34,M(CR),3,1,123,0,2,0,6.90,2017-18,FIFA World Cup
1,Pedro Aquino,Peru,23,M(CLR),3,1,138,0,0,0,6.90,2017-18,FIFA World Cup
2,Eduardo Salvio,Argentina,28,M(CR),2,2,146,0,0,0,6.90,2017-18,FIFA World Cup
3,Pontus Jansson,Sweden,27,D(C),2,1,95,0,0,0,6.90,2017-18,FIFA World Cup
4,Ruben Loftus-Cheek,England,22,M(CLR),4,3,274,0,1,0,6.89,2017-18,FIFA World Cup
5,Stephan Lichtsteiner,Switzerland,34,"D(R),M(R)",3,3,267,0,0,0,6.88,2017-18,FIFA World Cup
6,Héctor Herrera,Mexico,28,M(C),4,4,360,0,0,0,6.88,2017-18,FIFA World Cup
7,Jan Vertonghen,Belgium,31,D(CL),6,6,540,1,0,0,6.88,2017-18,FIFA World Cup
8,Joshua Kimmich,Germany,23,"D(CR),DMC,M(R)",3,3,270,0,0,0,6.87,2017-18,FIFA World Cup
9,Vladimir Stojkovic,Serbia,35,GK,3,3,270,0,0,0,6.87,2017-18,FIFA World Cup
0,Rodrigo Bentancur,Uruguay,21,M(C),5,5,365,0,1,0,6.87,2017-18,FIFA World Cup
1,Lucas Torreira,Uruguay,22,DMC,5,3,304,0,0,0,6.86,2017-18,FIFA World Cup
2,Gabriel Mercado,Argentina,31,D(CR),3,3,270,1,1,0,6.86,2017-18,FIFA World Cup
3,Moussa Wagué,Senegal,20,D(R),3,2,196,1,0,0,6.86,2017-18,FIFA World Cup
4,Nemanja Matic,Serbia,30,DMC,3,3,270,0,0,0,6.86,2017-18,FIFA World Cup
5,Gaku Shibasaki,Japan,26,"M(C),FW",4,4,341,0,1,0,6.86,2017-18,FIFA World Cup
6,Radamel Falcao,Colombia,32,FW,4,4,378,1,0,0,6.86,2017-18,FIFA World Cup
7,Yuri Gazinskiy,Russia,29,DMC,4,3,267,1,0,0,6.86,2017-18,FIFA World Cup
8,Badou Ndiaye,Senegal,28,M(C),1,1,81,0,0,0,6.86,2017-18,FIFA World Cup
9,Fakhreddine Ben Youssef,Tunisia,27,FW,3,3,270,1,0,0,6.86,2017-18,FIFA World Cup
0,John Obi Mikel,Nigeria,31,M(C),3,3,268,0,0,0,6.86,2017-18,FIFA World Cup
1,Giorgian de Arrascaeta,Uruguay,24,"AM(CLR),FW",2,1,86,0,0,0,6.86,2017-18,FIFA World Cup
2,Leon Balogun,Nigeria,30,D(CR),3,3,270,0,0,0,6.85,2017-18,FIFA World Cup
3,Sardar Azmoun,Iran,24,"AM(C),FW",3,3,270,0,0,0,6.85,2017-18,FIFA World Cup
4,Sadio Mané,Senegal,26,"AM(CLR),FW",3,3,270,1,0,0,6.85,2017-18,FIFA World Cup
5,Yuri Zhirkov,Russia,35,"D(L),M(CL)",3,3,222,0,0,0,6.85,2017-18,FIFA World Cup
6,Santiago Arias,Colombia,27,D(R),4,4,386,0,0,0,6.85,2017-18,FIFA World Cup
7,Masoud Shojaei,Iran,34,"M(CL),FW",1,1,68,0,0,0,6.85,2017-18,FIFA World Cup
8,Manuel Akanji,Switzerland,23,D(CR),4,4,360,0,0,0,6.85,2017-18,FIFA World Cup
9,Kim Young-Gwon,South Korea,28,D(C),3,3,270,1,0,0,6.84,2017-18,FIFA World Cup
