,Player,Team,Age,Position,Apps,Starts,Mins,Goals,Assists,MotM,Rating,Season,Competition
9,Cesc Fàbregas,Spain,25,"M(CL),FW",6,3,315,2,1,0,7.03,2011-12,UEFA European Championship
0,David Limbersky,Czech Republic,29,D(L),3,3,270,0,0,0,7.03,2011-12,UEFA European Championship
1,Gordon Schildenfeld,Croatia,27,D(C),3,3,270,0,0,0,7.02,2011-12,UEFA European Championship
2,Joleon Lescott,England,30,D(CL),4,4,390,1,0,0,7.00,2011-12,UEFA European Championship
3,Yaroslav Rakitskiy,Ukraine,23,D(C),1,1,90,0,0,0,6.99,2011-12,UEFA European Championship
4,Martin Olsson,Sweden,24,"D(L),M(L)",3,3,270,0,0,0,6.98,2011-12,UEFA European Championship
5,Glen Johnson,England,28,"D(CLR),M(R)",4,4,390,0,0,0,6.97,2011-12,UEFA European Championship
6,Igor Denisov,Russia,28,DMC,3,3,270,0,0,0,6.97,2011-12,UEFA European Championship
7,Ivan Strinic,Croatia,25,D(L),3,3,270,0,1,0,6.96,2011-12,UEFA European Championship
8,Vyacheslav Malafeev,Russia,33,GK,3,3,270,0,0,0,6.96,2011-12,UEFA European Championship
9,Arjen Robben,Netherlands,28,"M(CLR),FW",3,3,263,0,1,0,6.95,2011-12,UEFA European Championship
0,Juan Mata,Spain,24,AM(CLR),1,0,3,1,0,0,6.95,2011-12,UEFA European Championship
1,Georgios Samaras,Greece,27,"AM(L),FW",4,4,360,1,0,1,6.94,2011-12,UEFA European Championship
2,Federico Balzaretti,Italy,31,D(L),4,3,369,0,0,0,6.94,2011-12,UEFA European Championship
3,Simon Kjaer,Denmark,23,D(C),3,3,270,0,0,0,6.94,2011-12,UEFA European Championship
4,Dimitrios Salpingidis,Greece,31,AM(R),4,3,308,2,1,1,6.94,2011-12,UEFA European Championship
5,Jaroslav Plasil,Czech Republic,31,M(C),4,4,360,0,1,0,6.93,2011-12,UEFA European Championship
6,Giorgos Karagounis,Greece,35,AM(C),3,3,247,1,0,0,6.91,2011-12,UEFA European Championship
7,Philipp Lahm,Germany,29,"D(R),DMC",5,5,450,1,0,0,6.91,2011-12,UEFA European Championship
8,Ashley Cole,England,32,"D(L),M(L)",4,4,390,0,0,0,6.90,2011-12,UEFA European Championship
9,Karim Benzema,France,25,FW,4,4,346,0,2,0,6.90,2011-12,UEFA European Championship
0,Fernando Torres,Spain,28,FW,5,2,190,3,1,0,6.90,2011-12,UEFA European Championship
1,Lukasz Piszczek,Poland,27,"D(CR),M(R)",3,3,270,0,0,0,6.89,2011-12,UEFA European Championship
2,Antonio Cassano,Italy,30,"AM(CL),FW",6,6,393,1,1,0,6.88,2011-12,UEFA European Championship
3,Mario Gomez,Germany,27,FW,5,4,282,3,1,1,6.88,2011-12,UEFA European Championship
4,Marcin Wasilewski,Poland,32,D(CR),3,3,270,0,0,0,6.87,2011-12,UEFA European Championship
5,William Kvist,Denmark,27,DMC,3,3,270,0,0,0,6.87,2011-12,UEFA European Championship
6,Kyriakos Papadopoulos,Greece,20,D(C),4,3,323,0,0,0,6.87,2011-12,UEFA European Championship
7,Gaël Clichy,France,27,D(L),3,3,270,0,0,0,6.87,2011-12,UEFA European Championship
8,Ognjen Vukojevic,Croatia,29,DMC,3,3,261,0,0,0,6.86,2011-12,UEFA European Championship
9,Ivan Perisic,Croatia,23,"M(CLR),FW",3,2,182,0,1,0,6.85,2011-12,UEFA European Championship
0,Sergei Ignashevich,Russia,33,D(C),3,3,270,0,0,0,6.85,2011-12,UEFA European Championship
1,Philippe Mexes,France,30,D(C),3,3,270,0,0,0,6.85,2011-12,UEFA European Championship
2,Claudio Marchisio,Italy,26,M(C),6,6,570,0,0,0,6.84,2011-12,UEFA European Championship
3,Andriy Yarmolenko,Ukraine,23,"AM(CR),FW",3,3,248,0,1,0,6.84,2011-12,UEFA European Championship
4,Giorgio Chiellini,Italy,28,D(C),5,5,348,0,0,0,6.84,2011-12,UEFA European Championship
5,Damien Duff,Ireland,33,M(LR),3,3,256,0,0,0,6.83,2011-12,UEFA European Championship
6,Mario Balotelli,Italy,22,FW,6,5,423,3,0,0,6.83,2011-12,UEFA European Championship
7,João Pereira,Portugal,28,D(R),5,5,480,0,1,0,6.82,2011-12,UEFA European Championship
8,Yevhen Khacheridi,Ukraine,25,D(C),3,3,270,0,0,0,6.82,2011-12,UEFA European Championship
9,Wayne Rooney,England,27,"M(CLR),FW",2,2,207,1,0,0,6.81,2011-12,UEFA European Championship
0,Roman Shirokov,Russia,31,M(CR),3,3,270,1,0,0,6.80,2011-12,UEFA European Championship
1,Konstantin Zyryanov,Russia,35,M(C),2,2,180,0,0,0,6.79,2011-12,UEFA European Championship
2,Vedran Corluka,Croatia,26,D(C),3,3,270,0,0,0,6.79,2011-12,UEFA European Championship
3,Tomás Hübschman,Czech Republic,31,M(C),4,3,311,0,1,0,6.78,2011-12,UEFA European Championship
4,Domagoj Vida,Croatia,23,D(CR),1,1,66,0,0,0,6.77,2011-12,UEFA European Championship
5,John Heitinga,Netherlands,29,D(C),2,2,180,0,0,0,6.77,2011-12,UEFA European Championship
6,Przemyslaw Tyton,Poland,26,GK,3,2,200,0,0,0,6.77,2011-12,UEFA European Championship
7,Sami Khedira,Germany,25,M(C),5,5,450,1,0,0,6.77,2011-12,UEFA European Championship
8,Denys Harmash,Ukraine,22,"M(C),FW",1,1,78,0,0,0,6.76,2011-12,UEFA European Championship
9,Emanuele Giaccherini,Italy,27,M(CLR),2,2,180,0,0,0,6.76,2011-12,UEFA European Championship
0,Richard Dunne,Ireland,33,D(C),3,3,270,0,0,0,6.76,2011-12,UEFA European Championship
1,Andrea Barzagli,Italy,31,D(CR),4,4,390,0,0,0,6.75,2011-12,UEFA European Championship
2,Robert Lewandowski,Poland,24,FW,3,3,270,1,0,0,6.75,2011-12,UEFA European Championship
3,Leonardo Bonucci,Italy,25,D(C),6,5,513,0,0,0,6.74,2011-12,UEFA European Championship
4,Ignazio Abate,Italy,26,"D(R),M(R)",3,3,271,0,0,0,6.74,2011-12,UEFA European Championship
5,Lars Jacobsen,Denmark,33,D(LR),3,3,270,0,1,0,6.73,2011-12,UEFA European Championship
6,Andriy Shevchenko,Ukraine,36,M(C),3,2,191,2,0,1,6.73,2011-12,UEFA European Championship
7,Rafael van der Vaart,Netherlands,29,M(C),3,1,154,1,0,0,6.73,2011-12,UEFA European Championship
8,Lars Bender,Germany,23,"D(CR),M(CR)",3,1,92,1,0,1,6.72,2011-12,UEFA European Championship
9,Alexander Anyukov,Russia,30,D(CLR),3,3,261,0,0,0,6.71,2011-12,UEFA European Championship
0,Ivan Rakitic,Croatia,24,M(C),3,3,270,0,0,0,6.71,2011-12,UEFA European Championship
1,Vasilis Torosidis,Greece,27,"D(CLR),M(R)",4,4,360,0,0,0,6.70,2011-12,UEFA European Championship
2,Miroslav Klose,Germany,34,FW,5,1,169,1,0,0,6.70,2011-12,UEFA European Championship
3,Jonas Olsson,Sweden,29,D(C),2,2,180,0,0,0,6.70,2011-12,UEFA European Championship
4,André Schürrle,Germany,22,"M(CLR),FW",2,1,93,0,0,0,6.69,2011-12,UEFA European Championship
5,Gianluigi Buffon,Italy,34,GK,6,6,570,0,0,0,6.69,2011-12,UEFA European Championship
6,Damien Perquis,Poland,28,D(C),3,3,270,0,0,0,6.68,2011-12,UEFA European Championship
7,Rafal Murawski,Poland,31,M(C),3,3,253,0,0,0,6.68,2011-12,UEFA European Championship
8,Lukas Podolski,Germany,27,"AM(CLR),FW",4,4,290,1,0,0,6.68,2011-12,UEFA European Championship
9,Emir Bajrami,Sweden,24,AM(LR),1,1,46,0,0,0,6.67,2011-12,UEFA European Championship
0,Sean St Ledger,Ireland,28,D(C),3,3,186,1,0,0,6.67,2011-12,UEFA European Championship
1,Mathieu Debuchy,France,27,"D(CR),M(R)",4,4,334,0,0,0,6.65,2011-12,UEFA European Championship
2,Miguel Veloso,Portugal,26,M(C),5,5,466,0,0,0,6.65,2011-12,UEFA European Championship
3,Andrii Pyatov,Ukraine,28,GK,3,3,270,0,0,0,6.64,2011-12,UEFA European Championship
4,Dariusz Dudka,Poland,29,"D(CLR),M(CR)",2,2,163,0,0,0,6.64,2011-12,UEFA European Championship
5,Jesús Navas,Spain,27,"D(R),M(R)",3,0,115,1,0,0,6.64,2011-12,UEFA European Championship
6,Robin van Persie,Netherlands,29,"AM(C),FW",3,3,270,1,0,0,6.64,2011-12,UEFA European Championship
7,Tomas Sivok,Czech Republic,29,D(C),4,4,360,0,0,0,6.62,2011-12,UEFA European Championship
8,Ashley Young,England,27,"D(LR),M(LR)",4,4,390,0,0,0,6.62,2011-12,UEFA European Championship
9,Theodor Gebre Selassie,Czech Republic,26,"D(CLR),DMC,M(R)",4,4,360,0,1,1,6.62,2011-12,UEFA European Championship
0,Theo Walcott,England,23,"M(CLR),FW",4,0,109,1,1,0,6.62,2011-12,UEFA European Championship
1,Ola Toivonen,Sweden,26,"AM(C),FW",2,2,140,0,0,0,6.62,2011-12,UEFA European Championship
2,Simon Poulsen,Denmark,28,D(L),3,3,270,0,0,0,6.62,2011-12,UEFA European Championship
3,Georgios Tzavellas,Greece,25,D(CL),2,2,136,0,0,0,6.61,2011-12,UEFA European Championship
4,Holger Badstuber,Germany,23,D(CL),5,5,450,0,0,0,6.61,2011-12,UEFA European Championship
5,Tomas Rosicky,Czech Republic,32,M(CR),2,2,136,0,0,0,6.61,2011-12,UEFA European Championship
6,Shay Given,Ireland,36,GK,3,3,270,0,0,0,6.60,2011-12,UEFA European Championship
7,Andy Carroll,England,24,FW,3,1,159,1,0,0,6.60,2011-12,UEFA European Championship
8,Niki Zimling,Denmark,27,M(C),3,3,185,0,0,0,6.59,2011-12,UEFA European Championship
9,Giannis Maniatis,Greece,26,"D(R),M(CR)",4,4,360,0,0,0,6.58,2011-12,UEFA European Championship
0,James Milner,England,27,"D(LR),M(CLR)",4,4,282,0,0,0,6.56,2011-12,UEFA European Championship
1,Jérémy Ménez,France,25,"M(CLR),FW",3,1,112,1,0,0,6.55,2011-12,UEFA European Championship
2,Anatoliy Tymoshchuk,Ukraine,33,DMC,3,3,270,0,0,0,6.55,2011-12,UEFA European Championship
3,Michal Kadlec,Czech Republic,28,D(CL),4,4,360,0,0,0,6.55,2011-12,UEFA European Championship
4,Mark van Bommel,Netherlands,35,"D(C),DMC,M(R)",2,2,136,0,0,0,6.54,2011-12,UEFA European Championship
5,Jakob Poulsen,Denmark,29,M(C),2,1,156,0,0,0,6.54,2011-12,UEFA European Championship
6,Gregory van der Wiel,Netherlands,24,"D(CR),M(R)",3,3,265,0,0,0,6.53,2011-12,UEFA European Championship
7,Manuel Neuer,Germany,26,GK,5,5,450,0,0,0,6.53,2011-12,UEFA European Championship
8,Raul Meireles,Portugal,29,M(C),5,5,437,0,0,0,6.53,2011-12,UEFA European Championship
9,Rui Patrício,Portugal,24,GK,5,5,480,0,0,0,6.53,2011-12,UEFA European Championship
0,Yevhen Konoplyanka,Ukraine,23,"AM(CL),FW",3,3,270,0,1,0,6.53,2011-12,UEFA European Championship
1,Taras Mykhalyk,Ukraine,29,"D(C),M(C)",2,2,180,0,0,0,6.53,2011-12,UEFA European Championship
2,Roman Pavlyuchenko,Russia,31,FW,3,0,81,1,1,0,6.52,2011-12,UEFA European Championship
3,Adil Rami,France,27,D(C),4,4,360,0,0,0,6.52,2011-12,UEFA European Championship
4,Patrice Evra,France,31,"D(CL),M(L)",1,1,90,0,0,0,6.52,2011-12,UEFA European Championship
5,Oleg Gusev,Ukraine,29,M(L),3,3,270,0,0,0,6.51,2011-12,UEFA European Championship
6,Pedro,Spain,25,"M(CLR),FW",3,0,89,0,0,0,6.51,2011-12,UEFA European Championship
7,Nikica Jelavic,Croatia,27,FW,3,2,179,1,0,0,6.50,2011-12,UEFA European Championship
8,Ron Vlaar,Netherlands,27,D(C),2,2,180,0,0,0,6.50,2011-12,UEFA European Championship
9,José Holebas,Greece,28,"D(CL),M(L)",3,2,206,0,0,0,6.50,2011-12,UEFA European Championship
0,Christian Maggio,Italy,30,"D(R),M(R)",3,2,210,0,0,0,6.50,2011-12,UEFA European Championship
1,Bruno Alves,Portugal,31,D(C),5,5,480,0,0,0,6.49,2011-12,UEFA European Championship
2,Yann M'Vila,France,22,"D(C),M(C)",3,2,184,0,0,0,6.48,2011-12,UEFA European Championship
3,Kevin Doyle,Ireland,29,"M(C),FW",2,2,129,0,0,0,6.48,2011-12,UEFA European Championship
4,Aiden McGeady,Ireland,26,M(CLR),3,3,209,0,1,0,6.48,2011-12,UEFA European Championship
5,Grigoris Makos,Greece,25,M(CLR),2,1,95,0,0,0,6.47,2011-12,UEFA European Championship
6,Christian Wilhelmsson,Sweden,33,M(CLR),3,0,76,0,0,0,6.46,2011-12,UEFA European Championship
7,Alessandro Diamanti,Italy,29,"M(CR),FW",3,0,101,0,1,0,6.45,2011-12,UEFA European Championship
8,Maciej Rybus,Poland,23,"D(LR),M(LR)",1,1,70,0,0,0,6.45,2011-12,UEFA European Championship
9,Vladimír Darida,Czech Republic,22,"M(CLR),FW",1,1,61,0,0,0,6.45,2011-12,UEFA European Championship
0,Thomas Müller,Germany,23,"M(CLR),FW",5,3,306,0,0,0,6.45,2011-12,UEFA European Championship
1,Hélder Postiga,Portugal,30,FW,4,4,238,1,0,0,6.45,2011-12,UEFA European Championship
2,Giorgios Fotakis,Greece,31,M(CLR),2,1,91,0,0,0,6.44,2011-12,UEFA European Championship
3,Serhiy Nazarenko,Ukraine,32,M(CLR),3,2,162,0,0,0,6.43,2011-12,UEFA European Championship
4,Florent Malouda,France,32,M(CL),3,2,181,0,0,0,6.43,2011-12,UEFA European Championship
5,Rasmus Elm,Sweden,24,DMC,2,2,171,0,0,0,6.43,2011-12,UEFA European Championship
6,Andreas Isaksson,Sweden,31,GK,3,3,270,0,0,0,6.42,2011-12,UEFA European Championship
7,Santi Cazorla,Spain,28,M(CLR),2,0,16,0,0,0,6.40,2011-12,UEFA European Championship
8,Michalis Sifakis,Greece,28,GK,3,2,247,0,0,0,6.40,2011-12,UEFA European Championship
9,Thiago Motta,Italy,30,M(C),5,3,303,0,0,0,6.40,2011-12,UEFA European Championship
0,Daniel Kolár,Czech Republic,27,AM(C),2,1,135,0,0,0,6.39,2011-12,UEFA European Championship
1,Avraam Papadopoulos,Greece,28,D(C),1,1,37,0,0,0,6.38,2011-12,UEFA European Championship
2,Nigel de Jong,Netherlands,28,M(C),3,3,251,0,0,0,6.38,2011-12,UEFA European Championship
3,Theofanis Gekas,Greece,32,FW,4,2,222,1,0,0,6.36,2011-12,UEFA European Championship
4,Hugo Lloris,France,26,GK,4,4,360,0,0,0,6.35,2011-12,UEFA European Championship
5,Andrey Voronin,Ukraine,33,"AM(C),FW",2,2,131,0,0,0,6.35,2011-12,UEFA European Championship
6,Toni Kroos,Germany,23,M(C),4,1,108,0,0,0,6.35,2011-12,UEFA European Championship
7,Alexander Kerzhakov,Russia,30,FW,3,3,190,0,0,0,6.34,2011-12,UEFA European Championship
8,Andreas Granqvist,Sweden,27,D(C),3,3,246,0,0,0,6.33,2011-12,UEFA European Championship
9,Silvestre Varela,Portugal,27,M(CLR),3,0,23,1,0,0,6.33,2011-12,UEFA European Championship
0,Nikos Liberopoulos,Greece,37,FW,1,0,18,0,0,0,6.32,2011-12,UEFA European Championship
1,Pontus Wernbloom,Sweden,26,"M(C),FW",1,0,12,0,0,0,6.30,2011-12,UEFA European Championship
2,Samuel Holmén,Sweden,28,M(C),1,0,11,0,0,0,6.30,2011-12,UEFA European Championship
3,Anders Svensson,Sweden,36,DMC,3,2,197,0,0,0,6.30,2011-12,UEFA European Championship
