,Player,Team,Age,Position,Apps,Starts,Mins,Goals,Assists,MotM,Rating,Season,Competition
2,Fouad Rachid,Nancy,22,M(CLR),2,1,83,0,0,0,6.07,2012-13,FRA Ligue 1
3,Fabián Monzón,Nice,26,"D(L),M(L)",1,1,82,0,0,0,6.07,2012-13,FRA Ligue 1
4,Ismaël Diomandé,Saint-Etienne,21,"D(C),DMC",2,0,9,0,0,0,6.07,2012-13,FRA Ligue 1
5,Mathieu Bodmer,PSG,31,"D(C),M(C)",4,1,180,0,0,0,6.07,2012-13,FRA Ligue 1
6,Kamel Ghilas,Reims,29,FW,23,9,938,0,0,0,6.07,2012-13,FRA Ligue 1
7,Abdoulaye Keita,SC Bastia,20,D(R),4,0,50,0,0,0,6.06,2012-13,FRA Ligue 1
8,Viktor Klonaridis,Lille,21,FW,3,0,38,0,0,0,6.06,2012-13,FRA Ligue 1
9,Marco Da Silva,Valenciennes,21,M(C),3,0,3,0,0,0,6.06,2012-13,FRA Ligue 1
0,Junior Joachim,Nancy,21,FW,2,0,36,0,0,0,6.06,2012-13,FRA Ligue 1
1,Diogo Campos,Evian,23,FW,1,0,6,0,0,0,6.05,2012-13,FRA Ligue 1
2,Abel Khaled,Brest,21,M(CLR),7,0,95,0,0,0,6.05,2012-13,FRA Ligue 1
3,Gianni Bruno,Lille,22,"AM(LR),FW",13,3,278,0,0,0,6.04,2012-13,FRA Ligue 1
4,Ali M'Madi,Evian,23,FW,2,2,134,0,0,0,6.03,2012-13,FRA Ligue 1
5,Clinton N'Jie,Lyon,20,"AM(LR),FW",4,0,38,0,0,0,6.03,2012-13,FRA Ligue 1
6,Guié Guié,Nice,27,FW,3,1,90,0,0,0,6.01,2012-13,FRA Ligue 1
7,Idriss Saadi,Saint-Etienne,21,FW,1,0,18,0,0,0,6.01,2012-13,FRA Ligue 1
8,Alassane Plea,Lyon,20,"AM(CLR),FW",1,0,1,0,0,0,6.00,2012-13,FRA Ligue 1
9,Fabien Dao Castellana,Nice,20,M(CLR),2,0,14,0,0,0,6.00,2012-13,FRA Ligue 1
0,Georges Gope-Fenepej,Troyes,25,FW,1,0,1,0,0,0,6.00,2012-13,FRA Ligue 1
1,Ibrahim Amadou,Nancy,20,"D(C),DMC",1,0,1,0,0,0,6.00,2012-13,FRA Ligue 1
2,Yassin El Azzouzi,SC Bastia,31,FW,1,0,1,0,0,0,6.00,2012-13,FRA Ligue 1
3,Hadi Sacko,Bordeaux,19,AM(LR),4,0,43,0,0,0,5.99,2012-13,FRA Ligue 1
4,Kévin Rodrigues,Toulouse,19,"D(L),M(L)",1,0,8,0,0,0,5.99,2012-13,FRA Ligue 1
5,Jean-Louis Leca,Valenciennes,28,GK,2,1,180,0,0,0,5.98,2012-13,FRA Ligue 1
6,Joan Hartock,Brest,26,GK,2,2,167,0,0,0,5.98,2012-13,FRA Ligue 1
7,Fabrice Apruzesse,Marseille,28,FW,1,0,17,0,0,0,5.97,2012-13,FRA Ligue 1
8,Anthony Martial,Lyon,18,"AM(LR),FW",3,0,47,0,0,0,5.96,2012-13,FRA Ligue 1
9,Mohamed Camara,Troyes,23,FW,1,0,2,0,0,0,5.96,2012-13,FRA Ligue 1
0,Jonathan Tinhan,Montpellier,24,FW,1,0,8,0,0,0,5.92,2012-13,FRA Ligue 1
1,Matthieu Sans,SC Bastia,25,D(CLR),6,2,244,0,0,0,5.91,2012-13,FRA Ligue 1
2,Jean-Landry Bassilekin,Nancy,21,FW,1,0,8,0,0,0,5.89,2012-13,FRA Ligue 1
3,Billel Omrani,Marseille,20,FW,1,0,24,0,0,0,5.86,2012-13,FRA Ligue 1
4,Kafoumba Coulibaly,Nice,28,"D(CR),M(CR)",1,1,43,0,0,0,5.85,2012-13,FRA Ligue 1
5,David Gigliotti,AC Ajaccio,28,FW,1,0,33,0,0,0,5.75,2012-13,FRA Ligue 1
6,Ejike Uzoenyi,Rennes,21,M(CLR),1,0,3,0,0,0,5.68,2012-13,FRA Ligue 1
7,David Oberhauser,AC Ajaccio,23,GK,1,0,28,0,0,0,5.66,2012-13,FRA Ligue 1
8,Ronan Le Crom,PSG,39,GK,1,0,20,0,0,0,5.55,2012-13,FRA Ligue 1
9,Jires Kembo-Ekoko,Rennes,26,"M(LR),FW",1,1,30,0,0,0,5.22,2012-13,FRA Ligue 1
0,Johann Durand,Evian,32,GK,2,1,121,0,0,0,5.21,2012-13,FRA Ligue 1
1,Innocent Emeghara,Lorient,24,FW,1,0,4,0,0,0,5.15,2012-13,FRA Ligue 1
0,Zlatan Ibrahimovic,PSG,33,FW,33,32,2774,26,11,9,7.79,2013-14,FRA Ligue 1
1,Loic Perrin,Saint-Etienne,29,D(C),34,34,2981,6,1,7,7.73,2013-14,FRA Ligue 1
2,Yassine Jebbour,Rennes,23,D(LR),2,2,180,0,1,0,7.61,2013-14,FRA Ligue 1
3,Nemanja Pejcinovic,Nice,27,D(CR),15,14,1324,1,0,0,7.52,2013-14,FRA Ligue 1
4,Jérémy Toulalan,Monaco,31,"D(C),M(C)",29,29,2504,1,1,4,7.51,2013-14,FRA Ligue 1
5,Mathieu Bodmer,Nice,32,"D(C),M(C)",27,27,2306,2,1,4,7.48,2013-14,FRA Ligue 1
6,Layvin Kurzawa,Monaco,22,"D(L),M(L)",28,28,2406,5,3,5,7.44,2013-14,FRA Ligue 1
7,James Rodríguez,Monaco,23,"AM(CLR),FW",34,30,2644,9,12,4,7.44,2013-14,FRA Ligue 1
8,Serge Aurier,Toulouse,22,"D(CLR),M(R)",34,34,3045,6,6,5,7.42,2013-14,FRA Ligue 1
9,Thiago Silva,PSG,30,D(C),28,28,2386,3,0,3,7.42,2013-14,FRA Ligue 1
0,Aristote Ndongala,Nantes,20,M(CLR),1,1,90,0,0,0,7.39,2013-14,FRA Ligue 1
1,Marko Basa,Lille,32,D(C),32,32,2789,2,2,5,7.38,2013-14,FRA Ligue 1
2,Christophe Jallet,PSG,31,"D(LR),M(L)",13,13,1085,0,0,2,7.37,2013-14,FRA Ligue 1
3,Faouzi Ghoulam,Saint-Etienne,23,D(L),17,16,1466,1,4,2,7.36,2013-14,FRA Ligue 1
4,Rémy Cabella,Montpellier,24,"M(CLR),FW",37,36,3206,14,5,8,7.36,2013-14,FRA Ligue 1
5,Grégory Sertic,Bordeaux,25,"D(C),M(C)",30,29,2582,3,10,3,7.36,2013-14,FRA Ligue 1
6,Grzegorz Krychowiak,Reims,24,"D(C),M(C)",35,33,2830,4,1,2,7.34,2013-14,FRA Ligue 1
7,João Moutinho,Monaco,28,M(C),31,31,2564,1,8,4,7.30,2013-14,FRA Ligue 1
8,Lucas Digne,PSG,21,"D(CL),M(L)",15,15,1336,0,1,0,7.30,2013-14,FRA Ligue 1
9,Idrissa Gueye,Lille,25,M(C),37,37,3330,1,1,2,7.29,2013-14,FRA Ligue 1
0,David Ospina,Nice,26,GK,29,29,2572,0,0,6,7.28,2013-14,FRA Ligue 1
1,Thiago Motta,PSG,32,M(C),32,31,2544,3,2,1,7.28,2013-14,FRA Ligue 1
2,André Ayew,Marseille,25,"M(CLR),FW",25,24,2121,6,3,0,7.28,2013-14,FRA Ligue 1
3,Florent Chaigneau,Lorient,30,GK,12,11,962,0,0,0,7.27,2013-14,FRA Ligue 1
4,Simon Kjaer,Lille,25,D(C),34,34,3036,0,1,2,7.27,2013-14,FRA Ligue 1
5,Papy Djilobodji,Nantes,26,"D(C),DMC",28,28,2426,3,0,3,7.26,2013-14,FRA Ligue 1
6,Souleymane Diawara,Marseille,36,D(C),20,19,1708,1,0,1,7.26,2013-14,FRA Ligue 1
7,Nicolas Douchez,PSG,34,GK,1,1,90,0,0,0,7.26,2013-14,FRA Ligue 1
8,Moustapha Bayal Sall,Saint-Etienne,29,D(C),32,31,2815,1,1,3,7.24,2013-14,FRA Ligue 1
9,Bruno Ecuele Manga,Lorient,26,D(CR),35,35,3085,1,0,3,7.23,2013-14,FRA Ligue 1
0,Gueida Fofana,Lyon,23,"D(R),DMC",25,24,2137,2,1,1,7.23,2013-14,FRA Ligue 1
1,Maxime Gonalons,Lyon,25,"D(C),M(C)",36,36,3188,0,2,3,7.23,2013-14,FRA Ligue 1
2,Lamine Sané,Bordeaux,27,"D(C),M(C)",36,36,3240,0,0,2,7.22,2013-14,FRA Ligue 1
3,Jérémy Morel,Marseille,30,D(CL),20,20,1666,0,1,0,7.22,2013-14,FRA Ligue 1
4,Lucas Moura,PSG,22,"AM(CLR),FW",36,18,1936,5,11,5,7.22,2013-14,FRA Ligue 1
5,Maxwell,PSG,33,D(L),24,23,2089,3,2,1,7.22,2013-14,FRA Ligue 1
6,Stoppila Sunzu,Sochaux,25,D(C),17,17,1530,4,1,2,7.21,2013-14,FRA Ligue 1
7,Sylvain Armand,Rennes,34,D(CL),32,32,2796,0,0,2,7.21,2013-14,FRA Ligue 1
8,Clément Grenier,Lyon,24,M(CL),28,26,2249,4,5,4,7.19,2013-14,FRA Ligue 1
9,Marco Verratti,PSG,22,M(C),29,23,1996,0,4,1,7.19,2013-14,FRA Ligue 1
0,Théo Pellenard,Bordeaux,20,D(L),3,3,270,0,0,0,7.18,2013-14,FRA Ligue 1
1,Lucas Mendes,Marseille,24,D(CL),22,21,1893,2,1,1,7.18,2013-14,FRA Ligue 1
