Season,Player,Position,Age,Nationality,Club,League,Matches,Goals,Assists,G/A
1958,Tommy Thompson,Second Striker,28,England,Preston,England First Division (- 91/92),42,35,2,37
1958,Jimmy Murray,Centre-Forward,21,England,Wolves,England First Division (- 91/92),45,32,4,36
1958,Gordon Turner,Second Striker,27,England,Luton,England First Division (- 91/92),40,33,0,33
1958,Leo Canjels,Centre-Forward,24,Netherlands,NAC,Netherlands Eredivisie,28,32,0,32
1958,Omar Sívori,Second Striker,21,Italy,Juventus,Italy Serie A,40,31,0,31
1958,Héctor Rial,Second Striker,28,Spain,Real Madrid,Spain LaLiga,39,22,9,31
1958,Norman Deeley,Right Winger,23,England,Wolves,England First Division (- 91/92),45,23,7,30
1958,John Charles,Centre-Forward,25,Wales,Juventus,Italy Serie A,38,29,0,29
1958,Tonny van der Linden,Centre-Forward,24,Netherlands,DOS,Netherlands Eredivisie,33,29,0,29
1958,Coen Dillen,Centre-Forward,30,Netherlands,PSV Eindhoven,Netherlands Eredivisie,33,28,0,28
1958,Sir Bobby Robson,Right Winger,24,England,Multiple clubs,N/A,43,26,0,26
1958,Joe Hayes,Second Striker,21,England,Man City,England First Division (- 91/92),41,26,0,26
1958,Sir Tom Finney,Left Winger,35,England,Preston,England First Division (- 91/92),35,25,0,25
1958,Len White,Centre-Forward,27,England,Newcastle,England First Division (- 91/92),32,25,0,25
1958,René Bliard,Centre-Forward,24,France,Stade Reims,France Ligue 1,40,25,0,25
1958,Eddie Firmani,Centre-Forward,23,Italy,Multiple clubs,N/A,34,25,0,25
1958,Jimmy Greaves,Centre-Forward,17,England,Multiple clubs,N/A,38,24,1,25
1958,Ronnie Allen,Centre-Forward,28,England,West Brom,England First Division (- 91/92),40,24,1,25
1958,Dennis Viollet,Centre-Forward,23,England,Man Utd,England First Division (- 91/92),31,20,5,25
1959,Arnold Schütz,Sweeper,23,Germany,Werder Bremen,Germany Oberliga Nord,29,23,0,23
1959,Hermann Nuber,Sweeper,22,Germany,K. Offenbach,Germany Oberliga Süd,30,22,0,22
1959,Helmut Fiebach,Centre-Back,24,Germany,Tasmania Berlin,Germany OL Berlin,30,21,0,21
1959,Wolfgang Rösler,Defender,21,Germany,Rapide Wedding,Germany OL Berlin,30,18,0,18
1959,Hans Nowak,Centre-Back,20,Germany,FC Schalke 04,Germany Oberliga West,21,16,0,16
1959,Giel Haenen,Defender,24,Netherlands,Rapid JC,Netherlands Eredivisie,35,14,0,14
1959,Jürgen Moll,Left-Back,18,Germany,E. Braunschweig,Germany Oberliga Nord,20,13,0,13
1959,Uwe Lüchau,Centre-Back,20,Germany,Altona 93,Germany Oberliga Nord,28,13,0,13
1959,Berthold Buchenau,Defender,23,Germany,FSV Frankfurt,Germany Oberliga Süd,25,12,0,12
1959,Horst Kissner,Defender,23,Germany,SC Union 06,Germany OL Berlin,31,12,0,12
1959,Theo Laseroms,Centre-Back,18,Netherlands,NAC,Netherlands Eredivisie,33,11,0,11
1959,Harald Hardtke,Defender,26,Germany,Holstein Kiel,Germany Oberliga Nord,28,11,0,11
