Season,Player,Position,Age,Nationality,Club,League,Matches,Goals,Assists,G/A
1969,Hervé Revelli,Centre-Forward,22,France,Saint-Étienne,France Ligue 1,40,30,0,30
1969,André Guy,Centre-Forward,27,France,Olympique Lyon,France Ligue 1,39,30,0,30
1969,Piet Keizer,Left Winger,25,Netherlands,Ajax,Netherlands Eredivisie,43,14,16,30
1969,Joe Royle,Centre-Forward,19,England,Everton,England First Division (- 91/92),50,28,1,29
1969,Rob Rensenbrink,Left Winger,20,Netherlands,DWS,Netherlands Eredivisie,43,19,10,29
1969,Luigi Riva,Centre-Forward,23,Italy,US Cagliari,Italy Serie A,41,28,0,28
1969,Joseph Yegba Maya,Centre-Forward,24,Cameroon,Marseille,France Ligue 1,43,28,0,28
1969,Pierino Prati,Centre-Forward,21,Italy,Milan,Italy Serie A,42,21,7,28
1969,Werner Görts,Left Winger,26,Germany,Werder Bremen,Germany Bundesliga,42,21,5,26
1970,Velibor Vasovic,Sweeper,29,Serbia,Ajax,Netherlands Eredivisie,47,11,3,14
1970,Hans Venneker,Right-Back,24,Netherlands,Sparta,Netherlands Eredivisie,30,10,4,14
1970,Jean-Luc Fugaldi,Centre-Back,22,France,CS Sedan,France Ligue 1,36,12,0,12
1970,Chris Lawler,Right-Back,25,England,Liverpool,England First Division (- 91/92),54,11,0,11
1970,Willi Neuberger,Centre-Back,23,Germany,Bor. Dortmund,Germany Bundesliga,33,8,3,11
1970,Hans-Jürgen Wittkamp,Sweeper,21,Germany,FC Schalke 04,Germany Bundesliga,35,8,2,10
1970,Willi Entenmann,Centre-Back,25,Germany,VfB Stuttgart,Germany Bundesliga,30,7,3,10
1970,Emlyn Hughes,Left-Back,21,England,Liverpool,England First Division (- 91/92),53,7,3,10
1970,Dick Schneider,Sweeper,21,Netherlands,Go Ahead,Netherlands Eredivisie,42,6,4,10
1970,Günther Rinker,Defender,19,Austria,Multiple clubs,N/A,31,9,0,9
1970,Jacky Lemée,Defender,23,France,FC Metz,France Ligue 1,33,9,0,9
1970,Matthias Hemmersbach,Left-Back,27,Germany,1.FC Köln,Germany Bundesliga,40,8,0,8
1970,Rinus Israël,Sweeper,27,Netherlands,Feijenoord,Netherlands Eredivisie,46,7,1,8
1970,Tommy Smith,Centre-Back,24,England,Liverpool,England First Division (- 91/92),45,7,1,8
1970,Franz Beckenbauer,Sweeper,23,Germany,Bayern Munich,Germany Bundesliga,39,6,2,8
1970,Jan van Gorp,Defender,27,Netherlands,NAC,Netherlands Eredivisie,24,6,2,8
1970,Aad Mansveld,Sweeper,24,Netherlands,ADO,Netherlands Eredivisie,38,5,3,8
1970,Ruud Krol,Left-Back,20,Netherlands,Ajax,Netherlands Eredivisie,48,2,6,8
1970,Mike Doyle,Centre-Back,22,England,Man City,England First Division (- 91/92),57,7,0,7
1970,David Webb,Centre-Back,23,England,Chelsea,England First Division (- 91/92),46,7,0,7
1970,Gallego,Centre-Back,25,Spain,Barcelona,Spain LaLiga,39,7,0,7
1970,Johan Cruyff,Attacking Midfield,22,Netherlands,Ajax,Netherlands Eredivisie,46,33,34,67
1970,Harald Berg,Attacking Midfield,27,Norway,ADO,Netherlands Eredivisie,38,18,8,26
1970,Peter Lorimer,Right Midfield,22,Scotland,Leeds,England First Division (- 91/92),57,19,6,25
1970,Wolfgang Overath,Attacking Midfield,25,Germany,1.FC Köln,Germany Bundesliga,35,14,9,23
1970,Wietse Veenstra,Left Midfield,23,Netherlands,PSV Eindhoven,Netherlands Eredivisie,39,14,9,23
1970,Willem van Hanegem,Central Midfield,25,Netherlands,Feijenoord,Netherlands Eredivisie,43,10,13,23
1970,Johnny Giles,Central Midfield,28,Ireland,Leeds,England First Division (- 91/92),49,18,4,22
1970,Wolfgang Gayer,Attacking Midfield,26,Germany,Multiple clubs,N/A,47,16,4,20
1970,Franz Roth,Attacking Midfield,23,Germany,Bayern Munich,Germany Bundesliga,36,13,7,20
1970,Colin Bell,Attacking Midfield,23,England,Man City,England First Division (- 91/92),46,19,0,19
1970,Günter Netzer,Attacking Midfield,24,Germany,Bor. M'gladbach,Germany Bundesliga,32,6,13,19
1970,Bernd Hölzenbein,Attacking Midfield,23,Germany,E. Frankfurt,Germany Bundesliga,37,12,6,18
1970,Gianni Rivera,Attacking Midfield,25,Italy,Milan,Italy Serie A,31,11,6,17
1970,Luis Aragonés,Central Midfield,30,Spain,Atlético Madrid,Spain LaLiga,30,16,0,16
1970,Gerrie Mühren,Left Midfield,23,Netherlands,Ajax,Netherlands Eredivisie,46,10,6,16
1970,Franz Hasil,Attacking Midfield,24,Austria,Feijenoord,Netherlands Eredivisie,42,10,6,16
1970,Ian Bowyer,Central Midfield,18,England,Man City,England First Division (- 91/92),44,15,0,15
1970,George Graham,Central Midfield,24,Scotland,Arsenal,England First Division (- 91/92),51,14,1,15
1970,Jan Olsson,Central Midfield,25,Sweden,VfB Stuttgart,Germany Bundesliga,35,13,2,15
1970,Lex Schoenmaker,Attacking Midfield,21,Netherlands,ADO,Netherlands Eredivisie,29,8,7,15
1970,Gilbert Gress,Attacking Midfield,27,France,VfB Stuttgart,Germany Bundesliga,39,5,10,15
1970,Sir Bobby Charlton,Attacking Midfield,31,England,Man Utd,England First Division (- 91/92),57,14,0,14
1970,Gerd Müller,Centre-Forward,23,Germany,Bayern Munich,Germany Bundesliga,38,42,9,51
1970,Willy van der Kuijlen,Centre-Forward,22,Netherlands,PSV Eindhoven,Netherlands Eredivisie,42,32,8,40
1970,Piet Keizer,Left Winger,26,Netherlands,Ajax,Netherlands Eredivisie,45,23,16,39
1970,Ove Kindvall,Centre-Forward,26,Sweden,Feijenoord,Netherlands Eredivisie,40,33,5,38
1970,Dick van Dijk,Centre-Forward,23,Netherlands,Ajax,Netherlands Eredivisie,47,28,9,37
1970,Hervé Revelli,Centre-Forward,23,France,Saint-Étienne,France Ligue 1,46,35,0,35
1970,Hannes Löhr,Left Winger,26,Germany,1.FC Köln,Germany Bundesliga,38,25,7,32
1970,Peter Osgood,Centre-Forward,22,England,Chelsea,England First Division (- 91/92),48,31,0,31
1970,Salif Keita,Left Winger,22,Mali,Saint-Étienne,France Ligue 1,46,31,0,31
1970,Antal Nagy,Centre-Forward,25,Hungary,FC Twente,Netherlands Eredivisie,39,20,11,31
1970,Sjaak Swart,Right Winger,30,Netherlands,Ajax,Netherlands Eredivisie,47,20,11,31
1970,Jeff Astle,Centre-Forward,27,England,West Brom,England First Division (- 91/92),38,28,0,28
1970,Bernd Rupp,Left Winger,27,Germany,1.FC Köln,Germany Bundesliga,39,18,10,28
1970,Herbert Laumen,Centre-Forward,25,Germany,Bor. M'gladbach,Germany Bundesliga,37,21,6,27
1970,Jan Klijnjan,Centre-Forward,24,Netherlands,Sparta,Netherlands Eredivisie,34,11,16,27
1970,Luigi Riva,Centre-Forward,24,Italy,US Cagliari,Italy Serie A,35,26,0,26
1970,Allan Clarke,Centre-Forward,22,England,Leeds,England First Division (- 91/92),42,26,0,26
1970,Mick Jones,Centre-Forward,24,England,Leeds,England First Division (- 91/92),52,25,1,26
1970,Henk Wery,Right Winger,26,Netherlands,Feijenoord,Netherlands Eredivisie,42,13,13,26
1971,Hans Venneker,Right-Back,25,Netherlands,Sparta,Netherlands Eredivisie,46,7,11,18
1971,Aad Mansveld,Sweeper,25,Netherlands,ADO,Netherlands Eredivisie,44,7,5,12
1971,Wim Suurbier,Right-Back,25,Netherlands,Ajax,Netherlands Eredivisie,47,6,6,12
1971,Karl-Heinz Kamp,Left-Back,23,Germany,Werder Bremen,Germany Bundesliga,40,7,4,11
1971,Jacky Lemée,Defender,24,France,Multiple clubs,N/A,37,10,0,10
1971,Willi Neuberger,Centre-Back,24,Germany,Bor. Dortmund,Germany Bundesliga,39,9,1,10
1971,Klaus Winkler,Centre-Back,21,Germany,K. Offenbach,Germany Bundesliga,30,8,2,10
1971,Hartmut Heidemann,Centre-Back,29,Germany,MSV Duisburg,Germany Bundesliga,40,5,5,10
1971,Jack Charlton,Centre-Back,35,England,Leeds,England First Division (- 91/92),51,9,0,9
1971,Willem de Vries,Centre-Back,27,Netherlands,FC Twente,Netherlands Eredivisie,50,2,7,9
1971,Klaus-Dieter Sieloff,Sweeper,28,Germany,Bor. M'gladbach,Germany Bundesliga,41,8,0,8
1971,Peter Nogly,Centre-Back,23,Germany,Hamburger SV,Germany Bundesliga,38,8,0,8
1971,José María Lasa,Defender,22,Spain,Granada CF,Spain LaLiga,30,8,0,8
1971,Claude Quittet,Centre-Back,29,France,OGC Nice,France Ligue 1,30,8,0,8
1971,Chris Lawler,Right-Back,26,England,Liverpool,England First Division (- 91/92),61,6,2,8
1971,Wim van den Dungen,Right-Back,26,Netherlands,PSV Eindhoven,Netherlands Eredivisie,44,3,5,8
1971,Arnold Schütz,Sweeper,35,Germany,Werder Bremen,Germany Bundesliga,41,6,1,7
1971,Franz Beckenbauer,Sweeper,24,Germany,Bayern Munich,Germany Bundesliga,48,5,2,7
1971,Emlyn Hughes,Left-Back,22,England,Liverpool,England First Division (- 91/92),59,5,2,7
1971,Cees van Ierssel,Right-Back,24,Netherlands,FC Twente,Netherlands Eredivisie,50,4,3,7
1971,Dick Schneider,Sweeper,22,Netherlands,Feijenoord,Netherlands Eredivisie,35,4,3,7
1971,Johan Cruyff,Attacking Midfield,23,Netherlands,Ajax,Netherlands Eredivisie,37,27,15,42
1971,Lothar Kobluhn,Defensive Midfield,27,Germany,RW Oberhausen,Germany Bundesliga,35,26,3,29
1971,Wietse Veenstra,Left Midfield,24,Netherlands,PSV Eindhoven,Netherlands Eredivisie,43,16,12,28
1971,Gianni Rivera,Attacking Midfield,26,Italy,Milan,Italy Serie A,36,13,14,27
1971,Ray Kennedy,Left Midfield,18,England,Arsenal,England First Division (- 91/92),58,25,0,25
1971,Lex Schoenmaker,Attacking Midfield,22,Netherlands,ADO,Netherlands Eredivisie,36,18,7,25
1971,Willem van Hanegem,Central Midfield,26,Netherlands,Feijenoord,Netherlands Eredivisie,40,14,11,25
1971,Theo de Jong,Central Midfield,22,Netherlands,NEC,Netherlands Eredivisie,36,17,7,24
1971,Hans Ettmayer,Defensive Midfield,23,Austria,Multiple clubs,N/A,41,23,0,23
1971,Lothar Ulsaß,Attacking Midfield,29,Germany,E. Braunschweig,Germany Bundesliga,38,20,2,22
1971,Colin Bell,Attacking Midfield,24,England,Man City,England First Division (- 91/92),43,19,0,19
1971,Franz Hasil,Attacking Midfield,25,Austria,Feijenoord,Netherlands Eredivisie,37,14,5,19
1971,Gerrie Mühren,Left Midfield,24,Netherlands,Ajax,Netherlands Eredivisie,45,13,6,19
1971,Romeo Benetti,Central Midfield,24,Italy,Milan,Italy Serie A,37,9,10,19
1971,Peter Lorimer,Right Midfield,23,Scotland,Leeds,England First Division (- 91/92),49,17,0,17
1971,Wolfgang Gayer,Attacking Midfield,27,Germany,Hertha BSC,Germany Bundesliga,40,17,0,17
1971,Franz-Josef Hönig,Attacking Midfield,27,Germany,Hamburger SV,Germany Bundesliga,44,16,1,17
1971,Pirri,Defensive Midfield,25,Spain,Real Madrid,Spain LaLiga,41,16,1,17
1971,Franz Roth,Attacking Midfield,24,Germany,Bayern Munich,Germany Bundesliga,40,15,2,17
1971,Johnny Giles,Central Midfield,29,Ireland,Leeds,England First Division (- 91/92),43,15,2,17
1971,Bernd Nickel,Attacking Midfield,21,Germany,E. Frankfurt,Germany Bundesliga,34,15,1,16
1971,Addie Brouwers,Left Midfield,24,Netherlands,NAC,Netherlands Eredivisie,35,7,9,16
1971,Steve Heighway,Right Midfield,22,Ireland,Liverpool,England First Division (- 91/92),49,7,9,16
1971,Josip Skoblar,Centre-Forward,29,Croatia,Marseille,France Ligue 1,52,58,0,58
1971,Gerd Müller,Centre-Forward,24,Germany,Bayern Munich,Germany Bundesliga,47,39,13,52
1971,Salif Keita,Left Winger,23,Mali,Saint-Étienne,France Ligue 1,44,44,0,44
1971,Dick van Dijk,Centre-Forward,24,Netherlands,Ajax,Netherlands Eredivisie,40,24,13,37
1971,Tony Brown,Centre-Forward,24,England,West Brom,England First Division (- 91/92),48,30,2,32
1971,Janusz Kowalik,Centre-Forward,26,Poland,Sparta,Netherlands Eredivisie,42,22,10,32
1971,Ove Kindvall,Centre-Forward,27,Sweden,Feijenoord,Netherlands Eredivisie,34,26,5,31
1971,Ruud Geels,Centre-Forward,21,Netherlands,Go Ahead,Netherlands Eredivisie,36,19,12,31
1971,René van de Kerkhof,Right Winger,18,Netherlands,FC Twente,Netherlands Eredivisie,46,18,13,31
1971,Roberto Boninsegna,Centre-Forward,26,Italy,Inter,Italy Serie A,35,28,1,29
1971,Pierino Prati,Centre-Forward,23,Italy,Milan,Italy Serie A,39,22,7,29
1971,Jan Klijnjan,Centre-Forward,25,Netherlands,Sparta,Netherlands Eredivisie,44,20,9,29
1971,Sjaak Swart,Right Winger,31,Netherlands,Ajax,Netherlands Eredivisie,45,18,11,29
1971,Piet Keizer,Left Winger,27,Netherlands,Ajax,Netherlands Eredivisie,46,13,16,29
1971,Herbert Laumen,Centre-Forward,26,Germany,Bor. M'gladbach,Germany Bundesliga,38,28,0,28
1971,Fleury Di Nallo,Centre-Forward,27,France,Olympique Lyon,France Ligue 1,45,28,0,28
1971,Willi Lippens,Left Winger,24,Netherlands,RW Essen,Germany Bundesliga,35,25,3,28
1971,Jan Jeuring,Centre-Forward,22,Netherlands,FC Twente,Netherlands Eredivisie,50,24,4,28
1971,Martin Chivers,Centre-Forward,25,England,Tottenham,England First Division (- 91/92),50,27,0,27
1971,Jacky Vergnes,Centre-Forward,21,France,Nîmes Olympique,France Ligue 1,35,27,0,27
1971,Johan Devrindt,Centre-Forward,25,Belgium,PSV Eindhoven,Netherlands Eredivisie,44,19,8,27
1972,Aad Mansveld,Sweeper,26,Netherlands,FC Den Haag/ADO,Netherlands Eredivisie,43,12,3,15
1972,Franz Beckenbauer,Sweeper,25,Germany,Bayern Munich,Germany Bundesliga,47,7,8,15
1972,Rinus Israël,Sweeper,29,Netherlands,Feijenoord,Netherlands Eredivisie,42,8,5,13
1972,Dick Schneider,Sweeper,23,Netherlands,Feijenoord,Netherlands Eredivisie,42,7,6,13
1972,Hans-Jürgen Wittkamp,Sweeper,23,Germany,Bor. M'gladbach,Germany Bundesliga,39,9,1,10
1972,Emlyn Hughes,Left-Back,23,England,Liverpool,England First Division (- 91/92),53,9,1,10
1972,Erwin Hermandung,Centre-Back,26,Germany,Hertha BSC,Germany Bundesliga,44,9,0,9
1972,Willi Neuberger,Centre-Back,25,Germany,Werder Bremen,Germany Bundesliga,41,8,1,9
1972,Chris Lawler,Right-Back,27,England,Liverpool,England First Division (- 91/92),53,8,1,9
1972,Frans Eggenkamp,Centre-Back,27,Netherlands,NEC,Netherlands Eredivisie,35,6,3,9
1972,Jacky Lemée,Defender,25,France,Angers SCO,France Ligue 1,34,8,0,8
1972,Anatoli Piskunov,Defender,22,Russia,Multiple clubs,N/A,27,8,0,8
1972,Karl-Heinz Kamp,Left-Back,24,Germany,Werder Bremen,Germany Bundesliga,42,7,1,8
1972,Barry Hulshoff,Centre-Back,24,Netherlands,Ajax,Netherlands Eredivisie,48,6,2,8
1972,Daan Schrijvers,Centre-Back,29,Netherlands,NAC,Netherlands Eredivisie,35,6,2,8
1972,Paul Breitner,Left-Back,19,Germany,Bayern Munich,Germany Bundesliga,44,5,3,8
1972,Fred André,Centre-Back,30,Netherlands,Telstar,Netherlands Eredivisie,33,2,6,8
1972,Hugo Hovenkamp,Left-Back,20,Netherlands,FC Groningen,Netherlands Eredivisie,34,2,6,8
1972,Wim Suurbier,Right-Back,26,Netherlands,Ajax,Netherlands Eredivisie,38,1,7,8
1972,Hans Venneker,Right-Back,26,Netherlands,Sparta,Netherlands Eredivisie,39,1,7,8
1972,Klaus-Dieter Sieloff,Sweeper,29,Germany,Bor. M'gladbach,Germany Bundesliga,33,7,0,7
1972,Rolf Rüssmann,Centre-Back,20,Germany,FC Schalke 04,Germany Bundesliga,39,7,0,7
1972,David Webb,Centre-Back,25,England,Chelsea,England First Division (- 91/92),55,7,0,7
1972,Giacinto Facchetti,Left-Back,28,Italy,Inter,Italy Serie A,44,6,1,7
1972,Johan Cruyff,Attacking Midfield,24,Netherlands,Ajax,Netherlands Eredivisie,47,34,28,62
1972,Alberto Bigon,Attacking Midfield,23,Italy,Milan,Italy Serie A,48,19,11,30
1972,Lex Schoenmaker,Attacking Midfield,23,Netherlands,Feijenoord,Netherlands Eredivisie,36,19,11,30
1972,Peter Lorimer,Right Midfield,24,Scotland,Leeds,England First Division (- 91/92),54,27,0,27
1972,Klaus Scheer,Attacking Midfield,20,Germany,FC Schalke 04,Germany Bundesliga,43,21,1,22
1972,Günter Netzer,Attacking Midfield,26,Germany,Bor. M'gladbach,Germany Bundesliga,36,18,4,22
1972,Henk 'Charly' Bosveld,Central Midfield,29,Netherlands,Sparta,Netherlands Eredivisie,41,14,8,22
1972,Franz Roth,Attacking Midfield,25,Germany,Bayern Munich,Germany Bundesliga,45,15,6,21
1972,Idriz Hosic,Attacking Midfield,27,Bosnia-Herzegovina,1.FC K'lautern,Germany Bundesliga,38,20,0,20
1972,Martin Peters,Left Midfield,27,England,Tottenham,England First Division (- 91/92),56,16,4,20
1972,Gerrie Mühren,Left Midfield,25,Netherlands,Ajax,Netherlands Eredivisie,44,13,7,20
1972,Harald Berg,Attacking Midfield,29,Norway,FC Den Haag/ADO,Netherlands Eredivisie,42,11,9,20
1972,Bernd Nickel,Attacking Midfield,22,Germany,E. Frankfurt,Germany Bundesliga,31,16,3,19
1972,Tommy Baldwin,Midfielder,26,England,Chelsea,England First Division (- 91/92),29,18,0,18
1972,John Hollins,Defensive Midfield,25,England,Chelsea,England First Division (- 91/92),56,18,0,18
1972,Ray Kennedy,Left Midfield,19,England,Arsenal,England First Division (- 91/92),50,17,1,18
1972,Johan Neeskens,Central Midfield,19,Netherlands,Ajax,Netherlands Eredivisie,43,13,5,18
1972,Willem van Hanegem,Central Midfield,27,Netherlands,Feijenoord,Netherlands Eredivisie,36,10,8,18
1972,Bernd Hölzenbein,Attacking Midfield,25,Germany,E. Frankfurt,Germany Bundesliga,38,13,4,17
1972,Franz Hasil,Attacking Midfield,26,Austria,Feijenoord,Netherlands Eredivisie,42,9,8,17
1972,Gianni Rivera,Attacking Midfield,27,Italy,Milan,Italy Serie A,37,9,8,17
1972,Jim McCalliog,Midfielder,24,Scotland,Wolves,England First Division (- 91/92),51,15,1,16
1972,Steve Heighway,Right Midfield,23,Ireland,Liverpool,England First Division (- 91/92),50,8,8,16
1972,Gerd Müller,Centre-Forward,25,Germany,Bayern Munich,Germany Bundesliga,48,50,18,68
1972,Martin Chivers,Centre-Forward,26,England,Tottenham,England First Division (- 91/92),59,42,3,45
1972,Francis Lee,Centre-Forward,27,England,Man City,England First Division (- 91/92),46,35,7,42
1972,Piet Keizer,Left Winger,28,Netherlands,Ajax,Netherlands Eredivisie,47,19,23,42
1972,Josip Skoblar,Centre-Forward,30,Croatia,Marseille,France Ligue 1,44,40,0,40
1972,Uli Hoeneß,Right Winger,19,Germany,Bayern Munich,Germany Bundesliga,47,17,17,34
1972,Roberto Boninsegna,Centre-Forward,27,Italy,Inter,Italy Serie A,46,33,0,33
1972,Klaus Fischer,Centre-Forward,21,Germany,FC Schalke 04,Germany Bundesliga,38,29,1,30
1972,Hans Walitza,Centre-Forward,25,Germany,VfL Bochum,Germany Bundesliga,37,24,6,30
1972,Peter Osgood,Centre-Forward,24,England,Chelsea,England First Division (- 91/92),51,29,0,29
1972,Salif Keita,Left Winger,24,Mali,Saint-Étienne,France Ligue 1,34,29,0,29
1972,George Best,Right Winger,25,Northern Ireland,Man Utd,England First Division (- 91/92),53,26,2,28
1972,Sjaak Roggeveen,Centre-Forward,28,Netherlands,FC Den Haag/ADO,Netherlands Eredivisie,42,19,9,28
1972,Malcolm Macdonald,Centre-Forward,21,England,Newcastle,England First Division (- 91/92),46,26,1,27
1972,Derek Dougan,Centre-Forward,33,Northern Ireland,Wolves,England First Division (- 91/92),51,24,3,27
1972,Ruud Geels,Centre-Forward,22,Netherlands,Go Ahead Eagles,Netherlands Eredivisie,30,19,8,27
1972,Delio Onnis,Centre-Forward,23,Argentina,Stade Reims,France Ligue 1,40,26,0,26
1972,Jacky Vergnes,Centre-Forward,22,France,Nîmes Olympique,France Ligue 1,38,26,0,26
1972,Janusz Kowalik,Centre-Forward,27,Poland,Sparta,Netherlands Eredivisie,31,22,4,26
1972,Dick van Dijk,Centre-Forward,25,Netherlands,Ajax,Netherlands Eredivisie,30,17,9,26
1972,Luigi Riva,Centre-Forward,26,Italy,Cagliari,Italy Serie A,34,24,1,25
1972,Bernd Rupp,Left Winger,29,Germany,1.FC Köln,Germany Bundesliga,44,23,2,25
1973,Emlyn Hughes,Left-Back,24,England,Liverpool,England First Division (- 91/92),65,12,5,17
1973,Kees Bregman,Centre-Back,24,Netherlands,FC Den Haag/ADO,Netherlands Eredivisie,36,9,6,15
1973,Ditmar Jakobs,Centre-Back,18,Germany,RW Oberhausen,Germany Bundesliga,44,13,0,13
1973,Klaus Winkler,Centre-Back,23,Germany,Hamburger SV,Germany Bundesliga,43,12,1,13
1973,Dick Schneider,Sweeper,24,Netherlands,Feyenoord,Netherlands Eredivisie,41,10,3,13
1973,Franz Beckenbauer,Sweeper,26,Germany,Bayern Munich,Germany Bundesliga,51,7,6,13
1973,Aad Mansveld,Sweeper,27,Netherlands,FC Den Haag/ADO,Netherlands Eredivisie,38,10,2,12
1973,Rolf Rüssmann,Centre-Back,21,Germany,FC Schalke 04,Germany Bundesliga,42,11,0,11
1973,Peter Nogly,Centre-Back,25,Germany,Hamburger SV,Germany Bundesliga,46,9,2,11
1973,Uwe Kliemann,Centre-Back,23,Germany,E. Frankfurt,Germany Bundesliga,50,9,2,11
1973,Gerd Zewe,Centre-Back,22,Germany,F. Düsseldorf,Germany Bundesliga,42,9,2,11
1973,Hans Venneker,Right-Back,27,Netherlands,Sparta,Netherlands Eredivisie,37,8,3,11
1973,Bernd Cullmann,Centre-Back,22,Germany,1.FC Köln,Germany Bundesliga,54,10,0,10
1973,Willi Neuberger,Centre-Back,26,Germany,Werder Bremen,Germany Bundesliga,41,9,1,10
1973,Reiner Hollmann,Centre-Back,22,Germany,RW Oberhausen,Germany Bundesliga,39,7,3,10
1973,Paul Breitner,Left-Back,20,Germany,Bayern Munich,Germany Bundesliga,48,6,4,10
1973,Ruud Krol,Left-Back,23,Netherlands,Ajax,Netherlands Eredivisie,44,4,6,10
1973,Berti Vogts,Right-Back,25,Germany,Bor. M'gladbach,Germany Bundesliga,66,8,1,9
1973,Michael Lameck,Left-Back,22,Germany,VfL Bochum,Germany Bundesliga,44,6,3,9
1973,Alec Lindsay,Left-Back,24,England,Liverpool,England First Division (- 91/92),59,5,4,9
1973,Amand Theis,Centre-Back,22,Germany,K. Offenbach,Germany Bundesliga,39,8,0,8
1973,Erwin Hermandung,Centre-Back,27,Germany,Hertha BSC,Germany Bundesliga,45,8,0,8
1973,Roy McFarland,Centre-Back,24,England,Derby,England First Division (- 91/92),51,7,1,8
1973,José María Lasa,Defender,24,Spain,Athletic,Spain LaLiga,33,7,0,7
1973,Johan Cruyff,Attacking Midfield,25,Netherlands,Ajax,Netherlands Eredivisie,34,21,20,41
1973,Gianni Rivera,Attacking Midfield,28,Italy,Milan,Italy Serie A,43,20,20,40
1973,Henk 'Charly' Bosveld,Central Midfield,30,Netherlands,Sparta,Netherlands Eredivisie,35,13,22,35
1973,Willem van Hanegem,Central Midfield,28,Netherlands,Feyenoord,Netherlands Eredivisie,36,17,10,27
1973,Hans-Josef Kapellmann,Defensive Midfield,22,Germany,1.FC Köln,Germany Bundesliga,50,19,5,24
1973,Martin Peters,Left Midfield,28,England,Tottenham,England First Division (- 91/92),58,22,1,23
1973,Arie Haan,Defensive Midfield,23,Netherlands,Ajax,Netherlands Eredivisie,42,18,5,23
1973,Theo de Jong,Central Midfield,24,Netherlands,Feyenoord,Netherlands Eredivisie,39,18,5,23
1973,Heinz Flohe,Attacking Midfield,24,Germany,1.FC Köln,Germany Bundesliga,49,17,6,23
1973,Bennie Redèl,Midfielder,24,Netherlands,MVV Maastricht,Netherlands Eredivisie,34,12,11,23
1973,Steve Heighway,Right Midfield,24,Ireland,Liverpool,England First Division (- 91/92),62,10,13,23
1973,Bernd Gersdorff,Attacking Midfield,25,Germany,E. Braunschweig,Germany Bundesliga,46,19,3,22
1973,Bernd Hölzenbein,Attacking Midfield,26,Germany,E. Frankfurt,Germany Bundesliga,41,19,2,21
1973,Idriz Hosic,Attacking Midfield,28,Bosnia-Herzegovina,1.FC K'lautern,Germany Bundesliga,40,19,2,21
1973,Günter Netzer,Attacking Midfield,27,Germany,Bor. M'gladbach,Germany Bundesliga,43,16,5,21
1973,Gerrie Mühren,Left Midfield,26,Netherlands,Ajax,Netherlands Eredivisie,39,15,6,21
1973,Alberto Bigon,Attacking Midfield,24,Italy,Milan,Italy Serie A,43,12,9,21
1973,Peter Lorimer,Right Midfield,25,Scotland,Leeds,England First Division (- 91/92),58,19,0,19
1973,Bernd Nickel,Attacking Midfield,23,Germany,E. Frankfurt,Germany Bundesliga,37,13,6,19
1973,Lex Schoenmaker,Attacking Midfield,24,Netherlands,Feyenoord,Netherlands Eredivisie,26,12,7,19
1973,Luis Aragonés,Central Midfield,33,Spain,Atlético Madrid,Spain LaLiga,35,18,0,18
1973,Karl-Heinz Handschuh,Attacking Midfield,24,Germany,VfB Stuttgart,Germany Bundesliga,31,16,2,18
1973,Erich Beer,Attacking Midfield,25,Germany,Hertha BSC,Germany Bundesliga,37,17,0,17
1973,Gerd Müller,Centre-Forward,26,Germany,Bayern Munich,Germany Bundesliga,49,66,9,75
1973,Jupp Heynckes,Centre-Forward,27,Germany,Bor. M'gladbach,Germany Bundesliga,63,52,7,59
1973,Kevin Keegan,Centre-Forward,21,England,Liverpool,England First Division (- 91/92),64,22,20,42
1973,Willy Brokamp,Left Winger,26,Netherlands,MVV Maastricht,Netherlands Eredivisie,35,19,17,36
1973,Jan Jeuring,Centre-Forward,24,Netherlands,FC Twente,Netherlands Eredivisie,47,27,6,33
1973,René van de Kerkhof,Right Winger,20,Netherlands,FC Twente,Netherlands Eredivisie,46,14,18,32
1973,Bernard Lacombe,Centre-Forward,19,France,Olympique Lyon,France Ligue 1,44,31,0,31
1973,Luciano Chiarugi,Left Winger,25,Italy,Milan,Italy Serie A,40,22,9,31
1973,Martin Chivers,Centre-Forward,27,England,Tottenham,England First Division (- 91/92),58,30,0,30
1973,Josip Skoblar,Centre-Forward,31,Croatia,Marseille,France Ligue 1,37,29,0,29
1973,John Richards,Centre-Forward,21,England,Wolves,England First Division (- 91/92),48,29,0,29
1973,Hannes Löhr,Left Winger,29,Germany,1.FC Köln,Germany Bundesliga,42,24,5,29
1973,Peter Ressel,Right Winger,26,Netherlands,Feyenoord,Netherlands Eredivisie,37,17,12,29
1973,Jörgen Kristensen,Left Winger,25,Denmark,Feyenoord,Netherlands Eredivisie,41,10,19,29
1973,Pop Robson,Centre-Forward,26,England,West Ham,England First Division (- 91/92),42,28,0,28
1973,Uli Hoeneß,Right Winger,20,Germany,Bayern Munich,Germany Bundesliga,48,22,6,28
1973,Nol Heijerman,Right Winger,31,Netherlands,Sparta,Netherlands Eredivisie,36,12,16,28
1973,Willi Kreuz,Centre-Forward,23,Austria,Sparta,Netherlands Eredivisie,35,17,10,27
1973,Piet Keizer,Left Winger,29,Netherlands,Ajax,Netherlands Eredivisie,39,14,13,27
1973,Bernd Rupp,Left Winger,30,Germany,Bor. M'gladbach,Germany Bundesliga,50,23,3,26
1973,Hans Walitza,Centre-Forward,26,Germany,VfL Bochum,Germany Bundesliga,43,22,4,26
