Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Czechoslovakia,3.613117,4.267153,4.472482,4.834681,5.439265,5.102348,5.442680,5.069149,4.777050,5.016294,4.650768,4.305365,3.721957,3.938304,3.024859,3.595735,3.275791,3.594578,3.208403,3.581268,3.692090,4.078785,4.001984,4.485205,4.234690,3.881476,3.605711,3.604903,3.558653,2.780956,2.706000,2.476398,3.373262,3.437431,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Netherlands,2.935657,2.497846,3.175169,2.887803,3.489785,3.432428,3.394038,3.428251,2.860531,3.060356,3.775028,5.173049,5.809885,6.817569,7.289827,7.648339,7.324334,6.595633,7.241824,6.529568,5.836151,5.967154,5.901636,4.139653,4.234524,3.634083,2.655764,3.213490,4.449653,4.545309,4.552952,4.435466,4.638235,4.507821,3.992197,4.146602,5.109801,4.278957,3.921016,4.998962,4.631417,3.684925,3.989812,3.764493,3.754063,4.289097,4.328270,4.088873,3.907811,3.904060,3.536177,3.779034,4.143479,3.949724,3.786451,3.487515,3.012422,2.610966,2.472673,2.659386,2.896848,3.151320,3.785043,4.404745,4.350952,4.370095
Sweden,2.935657,3.538615,3.277594,3.699067,3.584297,3.030534,1.956906,2.109625,1.372938,1.513195,1.496541,1.156747,1.347827,1.806325,1.494163,2.129182,2.461043,2.365734,2.150047,2.565187,2.342739,2.325987,3.244852,3.399138,2.983343,2.843119,3.655560,3.637975,3.592068,3.881577,3.882895,2.985247,2.040823,2.584600,2.140147,2.623509,2.475679,2.678027,2.248940,2.290222,1.962030,2.218094,2.013416,1.976870,1.841288,1.656478,1.387464,1.094513,1.400095,1.465743,1.373116,1.330182,1.447464,1.379741,1.394968,1.508485,1.683544,1.657963,1.660279,1.713723,1.843449,1.648012,1.756245,1.746456,1.526027,1.765284
Belgium,2.822747,2.705999,3.892143,4.769850,3.867268,3.673824,4.274884,3.920714,3.535758,3.043541,3.908069,4.247520,4.208865,4.004494,4.273347,3.561892,4.258529,5.007331,6.283469,6.379654,6.175558,5.310893,5.169464,4.844353,5.240076,5.482852,5.732583,5.093165,5.312919,5.180981,6.225174,5.840398,6.347298,6.410678,5.992411,4.430815,3.670607,2.872258,2.292609,2.590958,2.406275,2.941947,2.980827,3.202819,3.180616,3.418916,3.167844,3.018969,2.730447,2.526714,2.699593,2.542648,2.949549,3.037638,3.101827,3.165904,3.388266,3.563885,3.200037,3.271653,3.071064,2.934265,2.349337,3.103176,3.463727,3.699775
East Germany,2.709837,2.914153,4.096992,3.828729,2.389406,2.102615,2.446041,2.636900,2.502836,2.620136,3.769374,4.351972,3.906157,4.743506,6.018883,5.231328,5.081676,5.015691,5.250114,4.439107,4.867598,4.751659,4.900558,3.896573,3.994365,3.724898,3.223539,3.108815,3.132617,3.360672,3.307333,3.222710,2.698609,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Bulgaria,2.258198,2.705999,1.843646,2.628285,2.735385,3.432613,3.516413,4.658968,3.661398,3.334779,3.173352,2.878397,1.829288,2.233912,2.974584,2.411257,2.771823,3.093009,2.791727,2.198732,2.557972,2.816106,2.778924,2.769054,2.776166,2.843119,2.187686,2.094482,1.990841,2.170322,2.190399,2.105956,1.756795,1.856387,1.508968,1.105226,1.221335,1.255553,1.146195,1.002278,1.331346,1.421027,1.770979,2.097566,2.202804,1.996431,2.543701,2.552444,2.369046,2.120145,2.128712,1.683327,1.297255,1.081717,1.335153,1.425508,1.111775,1.334355,1.589629,1.434936,1.407909,1.637963,1.497127,1.470700,1.446177,1.293457
Romania,2.032378,1.873384,1.229098,1.557502,1.509178,2.164587,3.057735,3.281796,3.075080,3.054639,2.743963,2.313824,2.847174,2.895812,3.016480,3.003496,2.813821,1.889244,1.716704,1.798963,2.160617,2.209688,2.787244,3.316233,3.549515,3.282525,3.849305,3.541403,3.419315,4.209242,4.518590,4.121676,4.140678,3.855144,2.485863,2.062370,2.000349,2.195394,2.265316,2.141506,2.252552,1.923656,1.625120,1.456103,1.629136,1.664447,3.294244,4.170487,4.151813,3.881910,3.821134,2.431902,1.713652,2.033098,2.329105,2.238175,2.150109,2.046712,1.699760,1.307841,1.353213,1.463113,1.316704,1.507467,1.517155,1.513101
Turkey,1.806558,2.081538,1.638797,2.141565,2.924032,2.195574,2.109738,2.021717,1.802035,1.513195,2.217122,2.258623,2.530601,2.371587,2.024728,1.635594,1.455795,1.713694,1.791705,1.665706,1.283125,1.287600,0.804224,0.884273,0.883898,0.878977,1.162967,1.488097,1.336416,1.960112,1.889561,1.978574,2.529609,3.263036,3.100249,3.461429,3.025742,2.942887,2.800258,2.690102,3.012581,3.651547,3.354525,3.257998,3.556893,3.221426,2.740159,2.766238,3.244323,3.215137,3.333369,3.300734,3.099758,3.046468,2.922383,2.774421,2.930850,3.294912,2.975619,2.837073,2.722632,2.419764,2.080622,2.360473,2.739751,2.856994
Denmark,1.693648,2.601923,2.697050,2.611931,2.279236,2.195388,1.314573,1.054725,0.700629,1.247011,1.441163,1.418539,1.554144,1.585747,1.312672,1.283127,1.063876,0.919543,1.125024,1.290922,1.655646,2.159845,2.523662,2.279744,1.781553,1.524406,1.370669,1.474372,1.823768,2.576291,2.404989,2.671117,2.810770,2.799026,2.496728,2.915010,2.904797,2.701570,2.641959,2.782636,2.295751,2.092254,2.029064,1.952596,1.922139,1.852137,1.775040,1.928714,2.091297,2.439414,2.646376,2.876959,2.505751,2.269398,1.820080,1.685078,1.575543,2.017293,2.156908,2.215950,2.370148,2.240894,2.086380,2.046111,2.232259,2.211470
Poland,1.580738,1.665230,1.638797,1.849534,2.358090,2.875973,3.210750,3.164702,3.690233,4.287862,4.781148,4.958194,5.034133,4.509193,4.021973,3.257312,3.317789,3.469186,3.100067,3.139856,2.789763,2.301066,1.971871,2.528627,2.196072,2.431073,2.409346,2.687141,2.130180,2.226445,1.889904,2.417032,2.051955,2.117457,2.002848,2.174014,1.969452,2.295452,2.401781,2.280307,2.273646,2.131846,2.043662,2.430209,2.395789,2.261330,1.937359,1.765176,1.231360,1.288649,1.213462,1.498844,1.813062,1.832296,1.612865,1.829756,1.905899,1.660064,1.672747,1.578429,1.347136,1.215911,1.218815,1.525851,1.801067,2.277786
