,Player,Age,Nation,Club,Position,Min,npG,npxG,Shots,Assists,xAG,npxG + xAG,SCA,Pass Attempts,Pass %,Prog Passes,Prog Carries,Take-Ons,Touches (Att Pen),Prog Passes Rec,Tackles,Inter,Blocks,Clears,Aerials,OVR
79,Kamory Doumbia,20,MLI,Brest,Att Mid / Winger,824,17,72,62,19,54,65,24,78,86,99,13,33,31,42,98,94,77,31,70,56.05263157894737
80,Jean-Kevin Duverne,26,HAI,Nantes,Fullback,1978,20,7,8,9,4,1,47,47,14,78,87,81,12,65,70,77,46,72,68,42.78947368421053
81,Hugo Ekitike,21,FRA,Paris S-G,Forward,1155,24,28,54,97,59,33,45,69,97,54,60,77,59,78,83,98,80,9,13,58.78947368421053
82,Romain Faivre,25,FRA,Lorient,Att Mid / Winger,1857,88,38,33,56,29,33,18,57,96,83,88,93,25,8,15,2,23,20,6,42.68421052631579
83,Khalil Fayad,19,FRA,Montpellier,Midfielder,690,14,24,43,70,78,57,50,23,55,9,44,77,30,49,95,63,31,11,25,44.63157894736842
84,Jordan Ferri,31,FRA,Montpellier,Midfielder,2511,32,20,20,24,65,45,61,81,63,83,51,42,13,39,33,37,11,24,16,40.0
85,Youssouf Fofana,24,FRA,Monaco,Midfielder,3608,28,78,77,44,65,71,59,58,47,86,89,85,58,59,60,82,70,40,36,62.73684210526316
86,Thomas Foket,28,BEL,Reims,Fullback,2412,20,4,3,25,65,41,36,65,70,61,62,17,62,86,22,93,45,21,30,43.578947368421055
87,Przemysław Frankowski,28,POL,Lens,Fullback,2617,74,55,66,22,94,90,96,69,28,59,44,25,75,92,82,66,72,5,11,59.21052631578947
88,Angelo Fulgini,27,FRA,Lens,Att Mid / Winger,1465,21,29,31,26,61,40,76,91,46,81,24,34,12,44,54,74,62,60,51,48.26315789473684
89,Kévin Gameiro,36,FRA,Strasbourg,Forward,1752,65,8,6,5,85,31,53,92,90,88,81,47,20,78,75,88,30,1,4,49.8421052631579
90,Ignatius Ganago,24,CMR,Nantes,Forward,1616,34,10,24,47,69,21,7,31,14,22,74,25,47,61,30,31,47,41,80,37.63157894736842
91,Johan Gastien,35,FRA,Clermont Foot,Midfielder,2279,72,26,16,46,46,36,60,92,53,91,15,18,5,25,49,69,34,27,22,42.21052631578947
92,Denis Genreau,24,AUS,Toulouse,Att Mid / Winger,875,1,3,2,18,3,1,2,69,53,38,6,23,12,17,99,92,99,98,83,37.8421052631579
93,Samuel Gigot,29,FRA,Marseille,Center Back,2036,60,95,66,93,48,91,72,57,72,67,91,36,88,85,89,98,55,60,80,73.84210526315789
94,Aleksandr Golovin,27,RUS,Monaco,Att Mid / Winger,2995,67,39,18,59,48,39,64,69,24,81,36,15,21,55,88,99,55,27,81,51.8421052631579
95,Angel Gomes,23,ENG,Lille,Midfielder,2512,14,74,82,97,65,68,67,66,83,60,52,74,65,77,9,8,5,13,8,51.94736842105263
96,Maxime Gonalons,34,FRA,Clermont Foot,Midfielder,1496,14,9,15,10,13,4,18,56,87,74,17,50,8,6,95,76,64,5,61,35.89473684210526
97,Amine Gouiri,23,FRA,Rennes,Forward,3115,75,47,44,69,68,54,86,86,85,80,90,86,63,84,96,95,71,17,23,69.42105263157895
98,Jonathan Gradit,30,FRA,Lens,Center Back,2779,48,20,6,86,75,47,97,74,74,99,89,75,4,63,84,39,53,8,28,56.26315789473684
99,Gabriel Gudmundsson,24,SWE,Lille,Fullback,838,20,72,77,9,36,50,39,43,70,37,96,92,90,82,40,50,41,65,72,56.89473684210526
100,Mattéo Guendouzi,24,FRA,Marseille,Att Mid / Winger,1947,3,14,5,16,5,2,14,92,99,99,29,5,12,2,63,87,5,77,82,37.421052631578945
101,Evann Guessand,22,FRA,Nice,Att Mid / Winger,1231,52,47,29,2,11,19,2,1,3,14,39,77,33,32,62,96,62,73,98,39.578947368421055
102,Frederic Guilbert,28,FRA,Strasbourg,Fullback,1843,20,41,62,35,25,26,38,43,14,28,13,69,3,28,90,99,81,54,83,44.8421052631579
103,Jaouen Hadjam,20,ALG,Nantes,Fullback,846,20,27,52,60,5,4,70,55,63,77,61,99,54,55,93,81,41,19,40,51.36842105263158
104,Massadio Haïdara,30,MLI,Lens,Center Back,1511,20,95,80,84,95,99,75,44,42,81,90,76,94,99,16,93,77,3,57,69.47368421052632
105,Achraf Hakimi,24,MAR,Paris S-G,Fullback,2465,95,99,88,73,71,92,89,94,98,86,95,84,96,98,64,60,55,10,13,76.84210526315789
106,Amine Harit,26,MAR,Marseille,Att Mid / Winger,878,14,65,59,99,92,80,99,82,85,95,59,76,75,86,31,82,33,61,29,68.52631578947368
107,Christophe Hérelle,31,MTQ,Metz,Center Back,971,20,5,17,28,24,3,28,3,49,13,3,27,9,47,6,67,24,63,1,23.0
108,Lucas Hernández,27,FRA,Paris S-G,Fullback,661,20,11,42,72,61,41,24,99,98,92,49,37,30,1,63,34,1,8,36,43.10526315789474
109,Bonke Innocent,27,NGA,Lorient,Midfielder,919,14,2,5,54,8,1,13,39,95,7,3,37,1,1,64,99,77,95,38,34.36842105263158
