,Player,Age,Nation,Club,Position,Min,npG,npxG,Shots,Assists,xAG,npxG + xAG,SCA,Pass Attempts,Pass %,Prog Passes,Prog Carries,Take-Ons,Touches (Att Pen),Prog Passes Rec,Tackles,Inter,Blocks,Clears,Aerials,OVR
562,Boubakary Soumaré,24,FRA,Sevilla,Midfielder,1442,14,1,1,10,6,1,10,48,67,23,33,47,1,22,91,99,22,82,59,33.526315789473685
563,Djibril Sow,26,SUI,Sevilla,Midfielder,2809,66,43,57,10,24,30,29,63,69,77,55,15,41,32,27,64,17,17,41,40.89473684210526
564,Çağlar Söyüncü,27,TUR,Atlético Madrid,Center Back,576,97,72,86,28,38,59,34,37,12,28,78,74,84,2,86,58,71,93,97,59.68421052631579
565,Carl Starfelt,28,SWE,Celta Vigo,Center Back,540,20,76,50,28,3,49,4,5,82,1,1,3,53,2,6,7,94,97,44,32.89473684210526
566,Jørgen Strand Larsen,23,NOR,Celta Vigo,Forward,1919,35,15,31,61,23,13,26,19,56,6,31,61,25,5,66,69,47,55,51,36.578947368421055
567,Cristhian Stuani,36,URU,Girona,Forward,1209,54,87,56,34,52,82,2,6,64,1,4,1,56,1,91,66,65,34,60,42.94736842105263
568,Damián Suárez,35,URU,Getafe,Fullback,2199,56,57,16,50,42,46,60,18,6,38,7,30,14,26,62,30,95,34,23,37.36842105263158
569,Denis Suárez,29,ESP,Villarreal,Midfielder,1107,14,32,11,10,65,51,82,38,13,40,87,97,62,75,57,6,44,20,11,42.89473684210526
570,Suso,29,ESP,Sevilla,Att Mid / Winger,1834,31,9,64,76,63,32,91,83,64,99,30,67,6,56,73,18,11,11,58,49.578947368421055
571,Alexander Sørloth,27,NOR,Villarreal,Forward,2936,69,74,34,52,67,69,45,23,63,12,65,76,23,38,50,25,37,69,58,49.94736842105263
572,Renato Tapia,28,PER,Celta Vigo,Midfielder,1070,14,61,69,10,33,44,20,47,52,26,36,52,30,5,98,63,80,99,83,48.526315789473685
573,Aurélien Tchouaméni,23,FRA,Real Madrid,Midfielder,2419,14,55,88,43,20,38,57,95,99,78,74,68,54,27,81,97,7,90,90,61.8421052631579
574,Ramón Terrats,22,ESP,Villarreal,Midfielder,1200,57,64,81,45,65,64,37,40,58,46,81,94,72,80,43,27,57,15,33,55.73684210526316
575,Kieran Tierney,26,SCO,Real Sociedad,Fullback,1139,78,64,80,76,23,35,13,72,58,69,76,20,75,44,45,49,7,43,49,51.36842105263158
576,Raúl de Tomás,28,ESP,Rayo Vallecano,Forward,960,34,55,97,41,39,48,59,26,64,69,66,93,51,46,43,2,14,33,32,48.0
577,Ferrán Torres,23,ESP,Barcelona,Att Mid / Winger,1601,97,88,72,21,87,91,60,58,52,42,34,62,82,92,30,12,15,34,71,57.89473684210526
578,Óliver Torres,28,ESP,Sevilla,Att Mid / Winger,2658,1,3,1,9,16,3,45,79,62,91,11,7,12,45,72,22,81,35,39,33.36842105263158
579,Lucas Torró,29,ESP,Osasuna,Midfielder,2227,35,35,47,10,1,9,1,35,33,13,9,23,45,8,23,96,21,99,99,33.78947368421053
580,Hamari Traoré,31,MLI,Real Sociedad,Fullback,2485,49,69,77,73,56,58,68,76,84,79,24,39,78,66,38,72,31,53,62,60.63157894736842
581,Óscar Trejo,35,ARG,Rayo Vallecano,Att Mid / Winger,1872,3,1,3,31,27,1,80,71,81,86,21,79,30,12,93,33,65,59,43,43.10526315789474
582,Viktor Tsyhankov,25,UKR,Girona,Midfielder,2298,91,90,65,96,79,86,78,17,5,7,96,67,96,98,3,2,17,33,45,56.36842105263158
583,Óscar Valentín,29,ESP,Rayo Vallecano,Midfielder,2650,14,18,14,10,15,14,20,30,41,42,25,14,24,9,85,73,97,44,61,34.21052631578947
584,Martin Valjent,27,SVK,Mallorca,Center Back,2656,20,6,11,28,25,3,1,5,15,10,41,3,3,23,22,16,59,91,13,20.789473684210527
585,Federico Valverde,25,URU,Real Madrid,Midfielder,3236,84,85,98,72,93,93,85,76,81,69,93,73,78,88,15,53,54,41,57,73.05263157894737
586,Siebe Van Der Heyden,25,BEL,Mallorca,Center Back,764,20,35,14,28,32,26,58,32,39,13,62,3,4,30,91,80,1,58,65,36.36842105263158
587,José Luis García Vayá,25,ESP,Valencia,Midfielder,540,14,8,15,10,39,18,44,71,28,47,20,33,3,52,69,34,27,98,89,37.8421052631579
588,Lucas Vázquez,32,ESP,Real Madrid,Fullback,1198,99,92,69,75,93,96,97,95,96,65,84,87,99,99,87,3,9,5,1,71.10526315789474
589,Gabriel Veiga,21,ESP,Celta Vigo,Midfielder,2155,99,97,98,68,59,89,73,2,10,29,88,89,89,75,29,40,54,1,42,59.526315789473685
590,Mikel Vesga,30,ESP,Athletic Club,Midfielder,2696,31,40,36,55,34,33,15,52,48,76,23,13,51,24,34,65,56,68,92,44.526315789473685
591,Nacho Vidal,28,ESP,Osasuna,Fullback,926,80,75,77,9,2,23,11,13,44,35,23,71,37,28,37,69,41,90,94,45.21052631578947
592,Gonzalo Villar,25,ESP,Granada,Midfielder,972,14,2,8,86,65,34,19,55,44,45,79,87,30,31,41,26,89,60,76,46.89473684210526
593,Daniel Vivian,24,ESP,Athletic Club,Center Back,2466,54,53,46,28,61,52,45,47,22,77,55,47,56,27,82,19,55,47,10,46.473684210526315
594,Iñaki Williams,29,GHA,Athletic Club,Att Mid / Winger,2899,76,82,70,38,43,65,21,13,11,6,74,40,88,89,7,14,31,91,85,49.68421052631579
595,Nico Williams,21,ESP,Athletic Club,Att Mid / Winger,2528,30,19,41,51,58,35,31,22,15,14,94,91,71,90,32,15,73,55,70,47.73684210526316
596,Axel Witsel,34,BEL,Atlético Madrid,Center Back,2344,20,16,39,28,74,38,76,57,96,56,18,51,66,77,64,20,23,15,39,45.94736842105263
597,Igor Zubeldia,26,ESP,Real Sociedad,Center Back,2959,44,32,17,62,38,28,9,59,51,82,43,68,9,47,30,7,7,26,56,37.63157894736842
598,Martín Zubimendi,24,ESP,Real Sociedad,Midfielder,3371,44,50,14,34,18,32,27,61,71,52,51,15,33,23,19,62,55,84,84,43.63157894736842
